model,day,actual_kl,pred_raw_kl,pred_kl,lower_kl,upper_kl,n_scored,n_expected,coverage_pct,error_kl,abs_error_kl,error_raw_kl,inside_band,d_lo,d_hi,band_lo,band_hi,inside_daily_band
NPTS,2026-04-01,326.9,253.73,267.7590648173194,63.682470902766,519.2298567523654,576,576,100.0,-59.14093518268055,59.14093518268055,-73.16999999999999,True,-44.972323550080475,42.486681134728755,222.78674126723894,310.2457459520482,False
NPTS,2026-04-02,353.5,253.08,267.2851918650941,65.07206898061735,511.48951162294975,576,576,100.0,-86.21480813490592,86.21480813490592,-100.41999999999999,True,-44.972323550080475,42.486681134728755,222.3128683150136,309.77187299982285,False
NPTS,2026-04-03,313.99,256.88,271.26233738330126,61.61643829153653,524.4322962257346,576,576,100.0,-42.72766261669875,42.72766261669875,-57.110000000000014,True,-44.972323550080475,42.486681134728755,226.29001383322077,313.74901851803,False
NPTS,2026-04-04,235.79,255.86,270.645318161563,65.18872547100236,526.0309327126241,576,576,100.0,34.85531816156302,34.85531816156302,20.07000000000002,True,-44.972323550080475,42.486681134728755,225.67299461148252,313.1319992962918,True
NPTS,2026-04-05,162.47,254.58,269.13610746285394,61.943702894007345,535.4182296183359,576,576,100.0,106.66610746285394,106.66610746285394,92.11000000000001,True,-44.972323550080475,42.486681134728755,224.16378391277345,311.6227885975827,False
NPTS,2026-04-06,254.05,250.69,264.5568706421353,59.069802358148934,510.74789403992963,573,576,99.47916666666667,10.506870642135311,10.506870642135311,-3.3600000000000136,True,-44.972323550080475,42.486681134728755,219.58454709205483,307.0435517768641,True
NPTS,2026-04-07,249.98,254.22,267.9097843670003,60.48403008867228,520.6968440010832,576,576,100.0,17.929784367000337,17.929784367000337,4.240000000000009,True,-44.972323550080475,42.486681134728755,222.93746081691984,310.3964655017291,True
NPTS,2026-04-08,288.18,252.18,266.2514724334883,58.64223562521084,519.2245024171498,576,576,100.0,-21.92852756651172,21.92852756651172,-36.0,True,-44.972323550080475,42.486681134728755,221.2791488834078,308.73815356821706,True
NPTS,2026-04-09,267.08,252.14000000000001,266.09715123132685,58.97135783874598,514.1211397370482,576,576,100.0,-0.9828487686731364,0.9828487686731364,-14.93999999999997,True,-44.972323550080475,42.486681134728755,221.12482768124636,308.5838323660556,True
NPTS,2026-04-10,284.74,254.17,268.8203838495993,58.54914165904141,536.1710294264631,576,576,100.0,-15.919616150400714,15.919616150400714,-30.57000000000002,True,-44.972323550080475,42.486681134728755,223.8480602995188,311.30706498432806,True
