model,family,horizon,horizon_label,n_tanks,rows,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,coverage,width,neg_p10_pct,volume_bias_pct,rank_mase
PatchTST-Tuned,trained deep,24,1 d,24,13530,0.26018735461554454,0.5133585814728484,0.8018708616635909,0.6492660296328642,0.5161511916334944,0.9283720707894437,0.8354767184035476,0.8061699971439197,65.9349593495935,-22.295185300209887,6
PatchTST,trained deep,24,1 d,24,13530,0.2811926799007713,0.5318515422340285,0.8532784313773858,0.6672692050210675,0.5596091396308162,0.9684675622231175,0.8082039911308204,0.8059076750810528,62.37250554323725,-19.60985474466982,7
Theta,statistical,24,1 d,24,13530,0.27979371031768524,0.4988871674878245,0.9560960341634974,0.6291696204165836,0.5350086848893109,0.9006315023406809,0.9395417590539542,1.6837441617372,81.84035476718404,-4.669491315495942,8
DynamicOptimizedTheta,statistical,24,1 d,24,13530,0.28057363636925786,0.4998919593822259,0.9575116352993063,0.6303779048892496,0.5366199111743855,0.9026545116828077,0.9403547671840354,1.6916630709856673,82.32815964523282,-4.728409629519134,9
ETS,statistical,24,1 d,24,13530,0.26850509981371856,0.48085095048136267,0.9610624337135988,0.6071715072191711,0.5122846655770497,0.8714330101514131,0.9123429416112343,1.2617081842758884,71.64079822616408,0.7458085784950776,10
SeasonalNaive,reference,24,1 d,24,13530,0.31779934040024777,0.6455508965411411,1.0319684766451995,0.8020138838446383,0.6309079948090972,1.1738382721623117,0.9002217294900222,1.709418582598911,79.660014781966,0.3969730991095848,11
Chronos2-COV-XL,foundation,48,2 d,24,27323,0.2147431789741363,0.46712478192811985,0.6632686297799673,0.5710224336179298,0.43598180548531024,0.8513835800771145,0.7567983017970208,0.6490316912246566,0.0,-14.10035222866874,1
Chronos2-COV,foundation,48,2 d,24,27323,0.21510591227057885,0.4677328399219813,0.664257217847947,0.5712792174778359,0.43733811181686755,0.8529298050720934,0.7532847783918311,0.6434671232238853,0.0,-14.106344235495545,2
Chronos2-COV-LEAN,foundation,48,2 d,24,27323,0.21510438770068396,0.4683563523592498,0.66538403626639,0.5720519276122465,0.4366541612956239,0.8537020293050136,0.7264575632251217,0.6347747934210283,0.0,-13.878752515087179,3
Chronos2-ZS,foundation,48,2 d,24,27323,0.21614410676058826,0.4688044625576788,0.6655663677643385,0.5721864830584962,0.43922249895940824,0.8529266273277206,0.7288365113640523,0.6149262327929857,0.0,-12.728029995016099,4
NPTS,statistical,48,2 d,24,27323,0.23121475379898734,0.493388295260251,0.711319044533731,0.6075483419800304,0.4627091336146844,0.8899179387660054,0.8407934707023387,0.6820923763861948,0.0,-9.848906892453002,5
PatchTST-Tuned,trained deep,48,2 d,24,27323,0.26153325888213913,0.5192453168014074,0.8032625670012479,0.6556799377561299,0.5198125067621902,0.9367468800039342,0.8347912015518062,0.8725085993172429,65.65530871427003,-23.853411887627843,6
PatchTST,trained deep,48,2 d,24,27323,0.2830258596556889,0.535325657907416,0.855031820668198,0.6692861501995341,0.5663778579159976,0.9799847183115384,0.8287889324012736,0.9018142429763454,70.48640339640596,-22.87927749111563,7
ETS,statistical,48,2 d,24,27323,0.27217218856952297,0.4863244793809776,0.9717734402237136,0.6120373209400317,0.5220831562625154,0.8850380654009361,0.9145774622113237,1.3034951998381774,72.84705193426784,0.709052703458543,8
