base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,NPTS,statistical,48,2 d,MAE,24,0.21628921618847488,0.2313036711097516,-0.015014454921276744,6.491230705176535,3.5356084124939136,9.659076079420746,0.0,-2.90244339035349,0.00802603477294861,True,True,20
Chronos2-ZS,NPTS,statistical,72,3 d,MASE,24,0.6670011520667843,0.7095294429414398,-0.042528290874655574,5.99387260074077,3.965113425647316,8.025014871832957,0.0,-2.966959270575538,0.006904873967071179,True,True,21
Chronos2-ZS,NPTS,statistical,72,3 d,MAE,24,0.2174327787558811,0.23066272817009667,-0.013229949414215536,5.735625135093099,3.230873996507219,8.284580745673598,0.0,-3.2428899154901023,0.0035905226464794104,True,True,20
Chronos2-ZS,NPTS,statistical,168,7 d,MASE,24,0.6652976708299781,0.7057442937173383,-0.04044662288736009,5.731059145277284,4.7726867713665895,6.73660014529839,0.0,-3.957975452000278,0.0006243897433888534,True,True,24
Chronos2-ZS,NPTS,statistical,168,7 d,MAE,24,0.2197993179577634,0.23249029254367018,-0.012690974585906822,5.458711607721425,4.5093058436104565,6.3915655141780325,0.0,-4.6282535824899025,0.00011756387890904385,True,True,24
Chronos2-ZS,PatchTST-Tuned,trained deep,6,6 h,MASE,24,0.596173475223719,0.7140835421054912,-0.11791006688177219,16.512082960785197,9.800713361211228,23.77933706389439,0.0,-4.518738148393149,0.00015447894407238927,True,True,21
Chronos2-ZS,PatchTST-Tuned,trained deep,6,6 h,MAE,24,0.1958597924489299,0.23568041209119453,-0.03982061964226461,16.89602427666172,10.41554206956569,23.84727428800992,0.0,-4.778227830016125,8.091777141205903e-05,True,True,20
Chronos2-ZS,PatchTST-Tuned,trained deep,12,12 h,MASE,24,0.627832870455817,0.7600704850237129,-0.1322376145678957,17.39807257004199,10.683816553201849,23.665716684983995,0.0,-5.277271281637886,2.351051107396529e-05,True,True,23
Chronos2-ZS,PatchTST-Tuned,trained deep,12,12 h,MAE,24,0.20245644476148775,0.24509187294229964,-0.042635428180811875,17.395692345477833,10.86001014097554,23.55686707448677,0.0,-5.258520816084842,2.462147359305611e-05,True,True,21
Chronos2-ZS,PatchTST-Tuned,trained deep,24,1 d,MASE,24,0.6563016477223401,0.8060666428049318,-0.14976499508259158,18.579728663804133,13.652428490059588,22.81299682658446,0.0,-6.451541939060474,1.390574557724733e-06,True,True,23
