model,hour,mae,bias,mean_actual
PatchTST,16,0.3959518535481995,0.23950014445398926,0.6878079710144928
PatchTST,17,0.33020930238128726,0.16730034215601816,0.6169927536231884
PatchTST,18,0.1840178704998732,-0.02510346988593388,0.41581521739130434
PatchTST,19,0.20814121281160006,-0.0384268325346465,0.38956521739130434
PatchTST,20,0.18524085780554903,-0.06693954877690922,0.34607985480943737
PatchTST,21,0.1521753771429791,-0.07559175294531385,0.3270235934664247
PatchTST,22,0.16732654418928788,-0.056917412745489636,0.34407969639468694
PatchTST,23,0.15777696350591636,-0.056853936942450785,0.3327355072463768
PatchTST-Tuned,0,0.1304335382388227,0.0002713921774010559,0.3108680555555556
PatchTST-Tuned,1,0.12779133608037962,-0.01236959311551561,0.28953125
PatchTST-Tuned,2,0.13024270150990708,-0.008850369777064479,0.27875
PatchTST-Tuned,3,0.12574232856135248,-0.02624301166107097,0.2494270833333333
PatchTST-Tuned,4,0.12632969874988675,-0.022776286602488503,0.25277777777777777
PatchTST-Tuned,5,0.14308340128584457,-0.009090473048083282,0.28914930555555557
PatchTST-Tuned,6,0.16477797309774106,0.025509751730443616,0.36744791666666665
PatchTST-Tuned,7,0.2750913317483229,0.13775910995190566,0.5377951388888889
PatchTST-Tuned,8,0.4044426816851897,0.28573899950432285,0.7403645833333333
PatchTST-Tuned,9,0.4692280106062219,0.3073733644211955,0.7946527777777779
PatchTST-Tuned,10,0.450565592995786,0.26935682801737343,0.7628993055555555
PatchTST-Tuned,11,0.4355681717262817,0.22478754986648497,0.7039930555555556
PatchTST-Tuned,12,0.3679873108811852,0.1674501666505757,0.6284027777777778
PatchTST-Tuned,13,0.37733841279592195,0.18487914846362855,0.6315970961887477
PatchTST-Tuned,14,0.41987844858597195,0.243477827980077,0.6815426497277677
PatchTST-Tuned,15,0.4423623315558175,0.2614325606817344,0.6957894736842105
PatchTST-Tuned,16,0.3966991927820837,0.2610470705675269,0.6878079710144928
PatchTST-Tuned,17,0.33330054890010313,0.2057205509626539,0.6169927536231884
PatchTST-Tuned,18,0.1714281226074478,0.029273008522464266,0.41581521739130434
PatchTST-Tuned,19,0.18276630665586016,0.029016318285423937,0.38956521739130434
PatchTST-Tuned,20,0.15618556457048252,0.008844390594250164,0.34607985480943737
PatchTST-Tuned,21,0.1258428755221622,0.003054086706072118,0.3270235934664247
PatchTST-Tuned,22,0.14949401803021733,0.02311610298135892,0.34407969639468694
PatchTST-Tuned,23,0.1329807479929961,0.013909520357506673,0.3327355072463768
SeasonalNaive,0,0.14703125,0.01439236111111111,0.3108680555555556
SeasonalNaive,1,0.13881944444444444,0.002812499999999999,0.28953125
SeasonalNaive,2,0.1353125,0.010625,0.27875
SeasonalNaive,3,0.12604166666666666,0.005069444444444444,0.2494270833333333
SeasonalNaive,4,0.13510416666666666,0.0024999999999999983,0.25277777777777777
SeasonalNaive,5,0.16309027777777776,0.00048611111111111126,0.28914930555555557
SeasonalNaive,6,0.21029513888888887,0.0050173611111111105,0.36744791666666665
SeasonalNaive,7,0.29453125,0.009461805555555555,0.5377951388888889
SeasonalNaive,8,0.3490625,0.007048611111111112,0.7403645833333333
SeasonalNaive,9,0.5309201388888889,-0.014774305555555558,0.7946527777777779
SeasonalNaive,10,0.5838368055555556,0.023524305555555555,0.7628993055555555
SeasonalNaive,11,0.5695138888888889,-0.013506944444444445,0.7039930555555556
SeasonalNaive,12,0.5117708333333333,-0.006354166666666672,0.6284027777777778
SeasonalNaive,13,0.49588021778584396,-0.02753176043557169,0.6315970961887477
SeasonalNaive,14,0.5210526315789474,0.009147005444646094,0.6815426497277677
SeasonalNaive,15,0.6270961887477314,-0.009818511796733207,0.6957894736842105
SeasonalNaive,16,0.48990942028985507,0.01190217391304348,0.6878079710144928
SeasonalNaive,17,0.39059782608695653,0.012192028985507251,0.6169927536231884
SeasonalNaive,18,0.19157608695652173,-0.012481884057971014,0.41581521739130434
SeasonalNaive,19,0.23626811594202896,-0.013949275362318839,0.38956521739130434
SeasonalNaive,20,0.2083666061705989,-0.004192377495462795,0.34607985480943737
SeasonalNaive,21,0.1877858439201452,-0.034174228675136115,0.3270235934664247
SeasonalNaive,22,0.21267552182163188,-0.016850094876660345,0.34407969639468694
SeasonalNaive,23,0.1748731884057971,-0.01077898550724638,0.3327355072463768
Theta,0,0.17720384538866318,0.028882300961816234,0.3108680555555556
Theta,1,0.16885292038437474,0.016083666362699804,0.28953125
Theta,2,0.1650563709983062,0.015021526298600726,0.27875
Theta,3,0.15413395117912895,0.008296050786673961,0.2494270833333333
Theta,4,0.16104306905066687,0.005695640925488921,0.25277777777777777
Theta,5,0.19156416594016903,0.004004884963541736,0.28914930555555557
Theta,6,0.2080674404326528,0.006712283504050441,0.36744791666666665
Theta,7,0.2706049550450564,0.011180516682085653,0.5377951388888889
Theta,8,0.36843149820135324,-0.033725215621674805,0.7403645833333333
Theta,9,0.42863243790685124,0.018635889383327185,0.7946527777777779
Theta,10,0.4597697211412906,-0.018043131790259112,0.7628993055555555
Theta,11,0.44726041768710245,0.05211065615856309,0.7039930555555556
Theta,12,0.39447828439751814,0.014122276430258337,0.6284027777777778
Theta,13,0.38221748426539404,-0.00918035343933672,0.6315970961887477
Theta,14,0.40196560950351584,0.07728545508831475,0.6815426497277677
Theta,15,0.43441403080596774,0.10220648758804346,0.6957894736842105
Theta,16,0.3664324540529898,0.08273100438483703,0.6878079710144928
Theta,17,0.33438673510650224,0.10899539955146756,0.6169927536231884
Theta,18,0.19223503066880898,0.010010191542313585,0.41581521739130434
Theta,19,0.23207954323481844,0.012809721657356332,0.38956521739130434
Theta,20,0.20924057239151417,0.013211980677210316,0.34607985480943737
Theta,21,0.19792264323803138,-0.002626737855582901,0.3270235934664247
Theta,22,0.1881767651575154,0.021167779844299864,0.34407969639468694
Theta,23,0.17679021170572193,0.0069027202204403025,0.3327355072463768
